Transaction_ID,Contact_ID,Date_transaction,Store_transaction_ID,Store_transaction_name,Item_ID,Unit_original_price,Unit_sale_price,Promotion_ID,Quantity_item,Transaction_value
TRXA0F4A097,,20231101,ABWEB01,Alberta Online Store 01,SKUA1776410,"21,99","21,99",,1,"47,99"
TRXD47C99C5,CUSTD291E10D,20231101,AB096,AB Store 096 - Camrose,SKU9216A888,"11,99",6,PROMOA34667FA,1,"44,4"
TRXD5999338,,20231101,ABWEB01,Alberta Online Store 01,SKUC4BA60F1,14,14,,1,"74,71"
TRX67F55471,,20231101,ABWEB01,Alberta Online Store 01,SKU64BD62A9,"17,5","17,5",,1,"69,99"
TRXF9C377AE,,20231101,ABWEB01,Alberta Online Store 01,SKUB9686B09,"12,5","12,5",,1,"40,07"
TRX33FB9E77,,20231101,ABWEB01,Alberta Online Store 01,SKU35602EDE,"10,5","10,5",,1,"86,99"
TRX14E6B84C,,20231101,AB107,AB Store 107 - Grande Prairie,SKU47C8046D,"54,95","54,95",,1,"167,75"
TRX2AE760A0,,20231101,ABWEB01,Alberta Online Store 01,SKUC468D507,"38,63","38,63",,1,"38,63"
TRX2C38EF64,CUST1C4BE631,20231101,AB034,AB Store 034 - Canmore,SKUCD6D0B48,"59,95","19,95",PROMO7EC91EAB,1,"123,75"
TRXB6C70260,,20231101,ABWEB01,Alberta Online Store 01,SKUDF55A229,"24,99","24,99",,1,"80,97"
TRX196F6C13,,20231101,ABWEB01,Alberta Online Store 01,SKUBEDCD9E7,5,5,,1,"55,49"
TRXC92AD0B3,CUST91B90805,20231101,AB081,AB Store 081 - Calgary,SKUEECF1794,"39,95","31,96",PROMO84A058BB,1,"1,97"
TRX335997AE,,20231101,AB016,AB Store 016 - Camrose,,"-49,95","-49,95",,-1,"-0,01"
TRX386C34B5,,20231101,AB047,AB Store 047 - Grande Prairie,SKU1C92A934,"11,95","7,19",PROMO8A254670,1,"117,8"
TRX877896EE,,20231101,ABWEB01,Alberta Online Store 01,SKU83E5D26C,"7,5","7,5",,1,"142,99"
TRXDAE1AA6A,CUST823C2DE0,20231101,AB037,AB Store 037 - Chestermere,SKUAE1A7F62,"44,95","34,95",PROMO6DB3660D,1,"34,95"
