SKU,EAN,Saison,Couleur - Code,Couleur - Nom,Taille du produit,Style - Description FR,Catégorie - Code,Catégorie,Sous-catégorie - Code,Sous-catégorie,Sous-classe - Code,Sous-classe
SKU77351471,EAN77351471,20F,675,RD-PRT,XXL,Style_0001,Catégorie_002,Catégorie_002,Sous-catégorie_003,Sous-catégorie_003,Sous-classe_020,Sous-classe_020
SKUD610D178,EAND610D178,20F,135,WHT-PRT,XXL,Style_0002,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_032,Sous-classe_032
SKU51C7719A,EAN51C7719A,20F,632,PNK-L,36B,Style_0003,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_052,Sous-classe_052
SKUACB919D9,EANACB919D9,20F,417,BL-MSC,XXL,Style_0004,Catégorie_002,Catégorie_002,Sous-catégorie_003,Sous-catégorie_003,Sous-classe_029,Sous-classe_029
SKUFBF0458D,EANFBF0458D,20F,765,PCH-PRT,XXL,Style_0005,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_038,Sous-classe_038
SKUD627B888,EAND627B888,21S,642,FCHS-L,M,Style_0006,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_020,Sous-classe_020
SKUF7D4910D,EANF7D4910D,21S,641,FCHS-P,34C,Style_0007,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_051,Sous-classe_051
SKU87577A3E,EAN87577A3E,21S,001,BLACK,L,Style_0008,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_039,Sous-classe_039
SKU4331A5F3,EAN4331A5F3,21F,093,BLK-M,XXL,Style_0009,Catégorie_001,Catégorie_001,Sous-catégorie_019,Sous-catégorie_019,Sous-classe_043,Sous-classe_043
SKU8A2C8DC0,EAN8A2C8DC0,21S,826,SLV-HTR,L,Style_0010,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_046,Sous-classe_046
SKU87A89751,EAN87A89751,21F,10000,Brilliant White,L,Style_0011,Catégorie_002,Catégorie_002,Sous-catégorie_003,Sous-catégorie_003,Sous-classe_020,Sous-classe_020
SKUDF2A10CB,EANDF2A10CB,21S,P40004,NAVY STRIPE,XS,Style_0012,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_038,Sous-classe_038
SKU9BB9FCEA,EAN9BB9FCEA,21S,00001,Black Beauty,XXL,Style_0013,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKU01BF2546,EAN01BF2546,21S,40001,BLACK IRIS,M,Style_0014,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU3B8C5F9C,EAN3B8C5F9C,21S,40001,BLACK IRIS,L,Style_0015,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU5F0419F9,EAN5F0419F9,21S,70000,SUNDRESS,M,Style_0016,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU9F5963EB,EAN9F5963EB,21S,40001,BLACK IRIS,L,Style_0017,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKUE9AE26A1,EANE9AE26A1,21S,P50005,Ditsy Floral,S,Style_0018,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_029,Sous-classe_029
SKU7C7ADDC5,EAN7C7ADDC5,21S,80007,ASSORTED,XXL,Style_0019,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUE7558CB4,EANE7558CB4,21S,80007,ASSORTED,XL,Style_0020,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU5C79E5A2,EAN5C79E5A2,21S,80007,ASSORTED,XXL,Style_0021,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU5D2D7656,EAN5D2D7656,21S,60030,RASPBERRY,M,Style_0022,Catégorie_002,Catégorie_002,Sous-catégorie_003,Sous-catégorie_003,Sous-classe_026,Sous-classe_026
SKUAC33325E,EANAC33325E,21F,P10049,SOFT BOUQUET,XXL,Style_0023,Catégorie_006,Catégorie_006,Sous-catégorie_001,Sous-catégorie_001,Sous-classe_026,Sous-classe_026
SKUAC2E8C65,EANAC2E8C65,21S,00001,Black Beauty,M,Style_0024,Catégorie_003,Catégorie_003,Sous-catégorie_035,Sous-catégorie_035,Sous-classe_052,Sous-classe_052
SKUA16EE893,EANA16EE893,21S,00001,Black Beauty,L,Style_0025,Catégorie_003,Catégorie_003,Sous-catégorie_035,Sous-catégorie_035,Sous-classe_052,Sous-classe_052
SKUCB22114A,EANCB22114A,21F,40049,HEATHER,M,Style_0026,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_046,Sous-classe_046
SKU83FCB066,EAN83FCB066,21F,40050,FADED DENIM,XL,Style_0027,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_008,Sous-classe_008
SKUA0E3431D,EANA0E3431D,21F,P60035,PINK COFFEE,XS,Style_0028,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_037,Sous-classe_037
SKU28F0E845,EAN28F0E845,21F,P00063,Grey Mouton,M,Style_0029,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU70FD2FAF,EAN70FD2FAF,21F,50015,PURPLE HEATHER,M,Style_0030,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUF0E5EA9D,EANF0E5EA9D,21F,P50015,Mini Stripe Bear Mix,S,Style_0031,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKU1DF22583,EAN1DF22583,21F,P10066,Bear Foliage,XXL,Style_0032,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUD1D64EBC,EAND1D64EBC,21F,00001,Black Beauty,XXL,Style_0033,Catégorie_005,Catégorie_005,Sous-catégorie_005,Sous-catégorie_005,Sous-classe_037,Sous-classe_037
SKU8D718A14,EAN8D718A14,21F,10011,Snow White,XXL,Style_0034,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_008,Sous-classe_008
SKU93D19A5A,EAN93D19A5A,21F,40060,BILLOWING SAIL,S,Style_0035,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUE1FC9AF0,EANE1FC9AF0,21F,40060,BILLOWING SAIL,M,Style_0036,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKU49C7B158,EAN49C7B158,21F,P60062,FLOWER EMBROIDERY,L,Style_0037,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_015,Sous-classe_015
SKUA069D51E,EANA069D51E,21S,50003,ORCHID HUSH,M,Style_0038,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_020,Sous-classe_020
SKU0F6AD80B,EAN0F6AD80B,21F,00019,Smoke Mix,S,Style_0039,Catégorie_005,Catégorie_005,Sous-catégorie_013,Sous-catégorie_013,Sous-classe_028,Sous-classe_028
SKU58A004BA,EAN58A004BA,21F,10011,Snow White,XXL,Style_0040,Catégorie_005,Catégorie_005,Sous-catégorie_005,Sous-catégorie_005,Sous-classe_037,Sous-classe_037
SKUB93F3321,EANB93F3321,21F,00004,MICROCHIP,L,Style_0041,Catégorie_007,Catégorie_007,Sous-catégorie_006,Sous-catégorie_006,Sous-classe_045,Sous-classe_045
SKUA77585B4,EANA77585B4,21F,P60068,Floçon Sepia Rose,XL,Style_0042,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKUC383DBA3,EANC383DBA3,21F,P60071,Pink Penguin,XL,Style_0043,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_029,Sous-classe_029
SKUA6D4D4DF,EANA6D4D4DF,21F,P40080,Nordic Cookie,S,Style_0044,Catégorie_006,Catégorie_006,Sous-catégorie_007,Sous-catégorie_007,Sous-classe_026,Sous-classe_026
SKUBE42E78E,EANBE42E78E,21F,00007,Comfy Grey Mix,S,Style_0045,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_008,Sous-classe_008
SKUB7EEF5AA,EANB7EEF5AA,21F,60011,Mauve Chalk,S,Style_0046,Catégorie_007,Catégorie_007,Sous-catégorie_034,Sous-catégorie_034,Sous-classe_034,Sous-classe_034
SKU9700BD42,EAN9700BD42,21F,P00114,BLACK GLAMIE,S,Style_0047,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_038,Sous-classe_038
SKU058CAC05,EAN058CAC05,21F,P00114,BLACK GLAMIE,S,Style_0048,Catégorie_002,Catégorie_002,Sous-catégorie_003,Sous-catégorie_003,Sous-classe_026,Sous-classe_026
SKU9ABEAB8B,EAN9ABEAB8B,21F,P40095,FOREVER BLUE STRIPE,M,Style_0049,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_038,Sous-classe_038
SKU60BAFB45,EAN60BAFB45,21S,P40028,OCEAN,M,Style_0050,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_038,Sous-classe_038
SKU529A73FF,EAN529A73FF,21S,P70007,YELLOW SUBMARINE,XS,Style_0051,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_039,Sous-classe_039
SKUFE1D6169,EANFE1D6169,21S,40017,BLUE TINT,XXL,Style_0052,Catégorie_002,Catégorie_002,Sous-catégorie_031,Sous-catégorie_031,Sous-classe_039,Sous-classe_039
SKU3ACD6836,EAN3ACD6836,21S,40031,ARONA,S,Style_0053,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKUF6DB6A4C,EANF6DB6A4C,21F,10000,Brilliant White,L,Style_0054,Catégorie_002,Catégorie_002,Sous-catégorie_003,Sous-catégorie_003,Sous-classe_020,Sous-classe_020
SKU84F52824,EAN84F52824,21S,50003,ORCHID HUSH,42E,Style_0055,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_051,Sous-classe_051
SKU839C4764,EAN839C4764,21F,60031,DUSTY ROSE,M,Style_0056,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU200A08DE,EAN200A08DE,21F,60036,PINK NECTAR,36B,Style_0057,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_051,Sous-classe_051
